#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=33505 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:18.90 aq:11.11 tex:1076845 mv:161380 misc:6287 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:19.08 aq:11.67 tex:1309931 mv:81143 misc:1006 imb:2532 pmb:5583 smb:45 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:19.08 aq:12.80 tex:283530 mv:37350 misc:5808 imb:191 pmb:6155 smb:1814 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:19.08 aq:13.99 tex:171491 mv:53806 misc:5399 imb:162 pmb:6414 smb:1584 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:19.08 aq:14.09 tex:145869 mv:49010 misc:6153 imb:150 pmb:5951 smb:2059 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:19.17 aq:11.98 tex:1386160 mv:83249 misc:895 imb:2360 pmb:5773 smb:27 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:19.12 aq:13.19 tex:275209 mv:60759 misc:4280 imb:236 pmb:6967 smb:957 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:19.10 aq:14.33 tex:155351 mv:53953 misc:5584 imb:201 pmb:6381 smb:1578 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:19.14 aq:14.49 tex:165574 mv:53981 misc:5637 imb:176 pmb:6403 smb:1581 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:19.24 aq:12.19 tex:1561796 mv:80842 misc:738 imb:3590 pmb:4568 smb:2 d:- ref:0 w:6,65,-1 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:19.20 aq:13.44 tex:280385 mv:57765 misc:4426 imb:251 pmb:6869 smb:1040 d:- ref:0 ;
