#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.37 aq:21.56 tex:284639 mv:112200 misc:6393 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.54 aq:22.12 tex:475505 mv:70531 misc:3420 imb:2474 pmb:4830 smb:856 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.54 aq:22.50 tex:43391 mv:7454 misc:5835 imb:68 pmb:2281 smb:5811 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.54 aq:23.19 tex:21655 mv:7735 misc:5106 imb:28 pmb:1787 smb:6345 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.54 aq:23.12 tex:14056 mv:9055 misc:5433 imb:26 pmb:1777 smb:6357 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:29.63 aq:22.45 tex:511717 mv:74558 misc:2661 imb:2562 pmb:5068 smb:530 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:29.59 aq:23.26 tex:35056 mv:16139 misc:7093 imb:86 pmb:3135 smb:4939 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:29.56 aq:23.15 tex:15553 mv:11367 misc:5560 imb:42 pmb:1981 smb:6137 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:29.61 aq:23.75 tex:17451 mv:12897 misc:6204 imb:48 pmb:2217 smb:5895 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:29.70 aq:22.64 tex:559380 mv:77214 misc:1166 imb:3800 pmb:4261 smb:99 d:- ref:0 w:6,65,-1 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:29.67 aq:22.98 tex:33026 mv:14210 misc:6708 imb:70 pmb:2953 smb:5137 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:29.65 aq:23.71 tex:19624 mv:23083 misc:6741 imb:58 pmb:2816 smb:5286 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:29.68 aq:24.15 tex:20740 mv:17033 misc:6787 imb:36 pmb:2621 smb:5503 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:29.72 aq:22.66 tex:595876 mv:78604 misc:768 imb:4425 pmb:3712 smb:23 d:- ref:0 w:6,65,0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:29.71 aq:23.81 tex:52861 mv:19053 misc:7334 imb:64 pmb:3882 smb:4214 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:29.71 aq:24.33 tex:24451 mv:23756 misc:6873 imb:55 pmb:3047 smb:5058 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:29.71 aq:24.44 tex:23922 mv:17239 misc:6615 imb:46 pmb:2754 smb:5360 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:28.13 aq:21.32 tex:753698 mv:80443 misc:891 imb:3018 pmb:5101 smb:41 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:28.93 aq:23.31 tex:66754 mv:25268 misc:7306 imb:114 pmb:4517 smb:3529 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:29.32 aq:24.48 tex:33212 mv:23578 misc:7162 imb:62 pmb:3396 smb:4702 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:28.53 aq:24.16 tex:49133 mv:25907 misc:7376 imb:90 pmb:4127 smb:3943 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:25.14 aq:18.76 tex:1505540 mv:75703 misc:653 imb:3254 pmb:4901 smb:5 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:26.64 aq:21.76 tex:184213 mv:44138 misc:4833 imb:233 pmb:6578 smb:1349 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:27.38 aq:23.41 tex:78991 mv:39902 misc:6803 imb:141 pmb:5272 smb:2747 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:25.89 aq:22.39 tex:142976 mv:37720 misc:5568 imb:130 pmb:6312 smb:1718 d:- ref:0 ;
in:27 out:25 type:P dur:2 cpbdur:2 q:24.16 aq:18.03 tex:2333241 mv:67211 misc:580 imb:2232 pmb:5927 smb:1 d:- ref:0 ;
in:25 out:26 type:B dur:2 cpbdur:2 q:24.81 aq:21.05 tex:345029 mv:42816 misc:3203 imb:239 pmb:7171 smb:750 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:24.48 aq:21.76 tex:385164 mv:37434 misc:3050 imb:189 pmb:7258 smb:713 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:24.98 aq:20.17 tex:6076780 mv:57262 misc:526 imb:613 pmb:7547 smb:0 d:- ref:0 ;
in:29 out:29 type:B dur:2 cpbdur:2 q:24.57 aq:21.73 tex:2536619 mv:60489 misc:652 imb:384 pmb:7753 smb:23 d:- ref:0 ;
in:28 out:30 type:b dur:2 cpbdur:2 q:24.36 aq:22.23 tex:969177 mv:45927 misc:1880 imb:294 pmb:7540 smb:326 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:24.77 aq:23.38 tex:3513961 mv:59253 misc:818 imb:234 pmb:7859 smb:67 d:- ref:0 ;
in:35 out:32 type:P dur:2 cpbdur:2 q:25.62 aq:20.82 tex:5767542 mv:50118 misc:508 imb:1387 pmb:6773 smb:0 d:- ref:0 ;
in:33 out:33 type:B dur:2 cpbdur:2 q:25.30 aq:22.80 tex:3973056 mv:66469 misc:723 imb:598 pmb:7533 smb:29 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:25.14 aq:23.73 tex:3366855 mv:59293 misc:964 imb:496 pmb:7559 smb:105 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:25.46 aq:24.04 tex:3204478 mv:58790 misc:1084 imb:565 pmb:7479 smb:116 d:- ref:0 ;
